No. S.,Crop,(DES) (2018-19 - Normal Area,Area Sown,Area Sown,Decrease(-) over Increase(+)/ 2023
,,2022-23),2024,2023,
1,Paddy,401.55,394.28,378.04,16.25
2,Pulses,136.02,122.16,115.55,6.61
a,Arhar,45.55,45.78,40.74,5.04
b,Urdbean,36.76,29.04,30.81,-1.77
C,Moongbean,36.99,34.07,30.57,3.50
d,Kulthi*,1.90.,0.24,0.26,-0.02
e,Moth bean,10.32,9.12,9.37,-0.26
f,Other pulses,4.49,3.91,3.80,0.11
3,ShreeAnna& Coarse Cereals,180.86,185.51,177.50,8.02
a,Jowar,16.01,14.93,13.84 .,1.09
b,Bajra,72.63,68.85,70.00,-1.15
C,Ragi,10.96,9.17,7.63,1.53
d,Small millets,4.47,5.34,4.78,0.56
e,Maize,76.96,87.23,81.25,5.98
4,Oilseeds,190.18,188.37,187.36,1.00
a,Groundnut,45.28,46.82,43.14,3.68
b,Soybean,122.95,125.11,123.85,1.26
C,Sunflower,1.40,0.71,0.68,0.03
d,Sesamum**,10.26,10.67,11.58,-0.91
e,Niger.,1.22,0.31,0.36,-0.05
f,Castor,9.07,4.70,7.71,-3.00
g.,Other Oilseeds,0.00,0.04,0.05,-0.01
5,Sugarcane,51.15,57.68,57.11,0.57
6,Jute & Mesta,6.74,5.70,6.56,-0.86
7,Cotton,129.34,111.39.,122.74,-11.36
Total,Total,1095.84,1065.08,:1044.85,20.22
