Condition Crop,,6,,,,,,,,,,,,,,,0.03,,,,,
Area in Lakh ha. 2021,,5 -0.01,00'0.,0.00,0.18,0.01,-0.01,1.20,0.00,0.00,0.02,-0.03,0.00,0.04,1.03 0.00,0.00,,-0.17 60'0-,0.85,0.00,0.00 0.01,1.00
,2022 14,0.00,0.00,0.00,0.15,0.01,0.02,-0.13,0.00,0.00,0.02,0.00,0.00,-0.15,-0.37,0.02,0.00 -0.38,-0.15 0.02,0.86,0.00 0.00,0.01,-0.07
2023,3,0.00,0.00,0.00,0.11,0.01,0.00,-0.01,0.00,0.00,0.02,0.24,0.00,-0.15,-0.02,0.01 0.00,0.13,0.00 0.05,0.69,0.00 0.00,0.01,1.09
Increase/Decrease.over Normal of Corr.,week 12,-0.01,0.00,0:00,0.16,0:01,-0.05,0.58,0.00,000,0.02,0.01,0.00,-0.11,960-,0.01,0.00 0.19,60:0- -0.11,0.83,0.00 000,0.01,0.50
2019,,1 0.03,,,0.00,,0.34,0.75,,,0.00,0.61,,1.43 2.78,90:0,5.75,0.61,0.39,2.06,,0.003,14.811
2020,120,0.0160,,,0.0000,,0.2861,0.1700,,,0.0184,0.7000,1.3900,2.7300,0.0542,5.9280,0.7740,0.4000,2.1060,,0.0000,14.573
2021,9,0.020,,0.000,,,0.202,0.180,,,0.014,0.610,1.230,2.110,0.060,6.383,0.781,0.230 2.103,,,0.000,13.923
Area Covered (SDA) 2022,8,0.010,,0.030,,,0.164,1.510,,,0.006,0.580,1.420,1.451,0.047,6.800,0.765,0.122 2.090,,,0.000,14.994
2023,7,0.010,,0.067,,,0.184,1.390,,,0.008,0.344,1.420,1.103,0.052,6.290,0.619,0.096 2.258,,,0.000,13.841
Current Week 2024,6,0.010,,0.178,,0.010,0.187,1.380,,,0.030,0.580,1.270,1.080 0.064,,6.418,0.616,0.142 2.951,,,0.010,14.926
Normal off Corr. week,5,0.02,0.00,0.00,0.02,0.00,0.23,0.80,0.00,0.00,0.01,0.57,00'0 1.38,2.03,0.05,0.00,6.23 0.71,0.25 2.12,0.00,00'0,0.00,14.43
State Target Kharif 2024,4,0.11,0.00,0.00,0.17,0.01,0.50,0.80,0.00,00'0,0.03,0.75,0.00 1.52,1.25,0.08,0.00,6.10 1.74,0.15 2.99,0.00,0.00,0.01,16.21
Normal Area (DES) Avg.of 2018-19 to 2022-2023,3,0.13,0.00,0.00,0.01,0.02,0.28,0.30,0.00,0.00,0.02,0.92 0.00,1.03,3.14,0.06,0.00,6.05 96,0.33,1.72 0.00,0.00,0.04,16.01
State,2,ARUNACHALPRADESH ANDHRAPRADESH,ASSAM,,BIHAR,CHHATTISGARH,GUJARAT,HIMACHAL PRADESH HARYANA,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,ODISHA PUNJAB,RAJASTHAN,TAMILNADU,UTTARPRADESH TELANGANA,UTTARAKHAND,WESTBENGAL,Others,CENTRALLEVEL
SI.No.,,1,2,3,+ 5,6,7,8,9,100,11,12,3,14 15,16,7,18,9 2,,2,2,
