0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Condition Crop,6,,,,,,,,,,,,,,,,-0.08,,,,,,
2021,15,0.01,0.00,0.00,0.13,0.00,0.00,0.67 0.01,0.01,0.01,-0.12,0.00,0.45,660-,0.01,0.00,5.10,0.00,0.60,0.00,0.00,0.02,5.80
2022,14,0.01,0.00,0.00,600,0.00,-0.19,1.12 0.01,0.06,0.01,0.13,0.00,0.79,-0.04,0.01 0.00,-2.62,,0.03,0.00 0.12,0.00,0.00,0.02,-0.47
2023,,0.04 3,0.00,0.00,0.06,0.00,,0.63 0.01,0.06,0.01,0.12,0.00,0.62,0.39,0.00 0:00,-2.93,,0.01 0.00,0.11,0.00 0.00,,0.02,-1.15
Increase/Decreaseover Normal,of Corr. week,0.01 2,0.00,0.00,0.11,0.00,-0.15,4.61 0.01,0.02,0.01,-0.11,0.00,0.68,-1.07,0.01 0.00,1.38,-0.05,0.00,0.46,0.00,0.00,0.02,5.94
2019,1,0.16,,,0.00,,1.69,3.91 0.00,0.06,0.00,1.73,,2.91 6.34,,0.02,38.24,0.35 0.00,,9.30,,,0.007,64.716
2020,100,0.200,,0.000,,1.825,4.390,0.010,0.069,100'0,1.740,3.090,6.340,0.012,,39.426,0.466,0.006,9.576,,,0.000,67.152
2021 2022,9,0.170,,,0.000,,1.639,3.950 0.000,0.072,0.001,1.520,,3.330 4.980,0.015,37.406,0.378,,0.001 9.583,,,,0.000,63.046
Area Covered (SDA),8,0.170,,0.044,,,1.831,3.500 0.000,0.000,0.002,1.270,2.990,4.034,0.016,,45.121,0.273,0.003,10.065,,,0.000,69.319
2023,,0.140,,0.071,,,1.934,3.990 0.000,0.000,0.004,1.277,3.160,3.602,0.024,,45.438,0.284,0.001,10.071,,,0.000,69.995
Current Week 2024,,0.180,,,0.132,,1.638,4.620 0.008,0.061,0.010],1.400,,3.780 3.991,0.023,,42.503,0.298,0.001,10.185,,,0.020,68.849
Normal of Corr. week,5,0.17,0.00,0.00,0.02,0.00,1.78,0.01 00'0,0.04,0.00,1.51,0.00,3.10,5.06,0.02,0.00,41.13 0.35,0.00 9.72,0.00,,0.00,00'0,62.91
State Target Kharif 2024,4,0.26,0.00,0.00,0.15,0.00,2.50,5.30 0.01,0.10,0.01,1.90,0.00,4.07,4.10,0.02,0.00,43.80 0.50,0.01 10.61,0.00,,0.00,0.02,73.36
Area (DES) Avg.of 2018-19 to 2022-2023,3,0.26,0.00,0.00,0.03,0.00,3.83,4.99 0.01,0.15,0.00,1.98,0.00,3.31,6.09 0.02,0.01,,42.19 0.55,0.07,9.11 0.00,,0.00,0.03,72.63
State,2,ANDHRA PRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GUJARAT,HIMACHALPRADESH HARYANA 7,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA 14,ODISHA,PUNJAB,RAJASTHAN TAMILNADU,UTTARPRADESH TELANGANA,,UTTARAKHAND,WEST BENGAL,Others,CENTRAL LEVEL
(2)Kharif Bajra SI.No.,,,2,3,4,5,6,8,,1,1,2,3,15,16,7,,18 19,2,,2,23,
