0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Condition Crop,,,,,,,,,,,,,,,,0.01,,,,,,
2021,,0.06,0.07,0.00,0.15 -0.29,0.03,0.00,0.03 0.08,0.00,0.19,0.00,0.97,-0.10,0.05 000,,0.03,0.00,0.23,0.86,0.00,0.14,0.63
2022,14,0.08,0.05,0.00,0.14 -0.04,0.02,0.00,-0.01 0.00,0.001,0.11,0.00,0.28,-0.06,-0.07 0.00,-0.01,,-0.01 -0.01,0.20,-0.01,0.00,0.14,0.80
2023,3,0.06,0.05,0.00,0.14 0.04,0:02,0.00,0.01 0.00,0.00,0.12,0.00,0.17,-0.12,-0.09 0.00,-0.05,-0.02,0.00,0.14,-0.02 0.00,,0.14,0.56
Increase/Decrease_over Normal of Corr. week,12,0.04,0.06,0.00,0.15 -0.08,0.04,0.00,0.00j 0.05,0.00,0.14,0.00,0.49,-0.05,-0.05 0.00,-0.03,0.00,-0.01,0.22,-0.24,0.00,0.10,0.83
2019,11,0.11,0.25,0.00,0.00 0.49,60:0,,0.03 0.00,0.00,0.22,,1.20,0.30,0.32 00'0,600,0.10,0.02,0.10,0.62,0.000,0.116,4.049
2020,10,0.120,0.243,0.000,0.000 0.710,0.063,,0.000 0.000,0.000,0.280,,1.440,0.300,0.336 0.000,0.041,0.153,0.004,160'0,0.610,0.001,0.082,4.474
Area Covered(SDA) 2021,9,0.060,0.242,0.000,0.000 0.840,0.106,,0.000 0.000,0.000,0.190,,0.870,0.420,0.346 0.000,0.061,0.120,0.001,0.123 1.330,,0.000,0.000,4.709
2022,8,0.040,0.270,0.000,0.007 0.590,0.122,,0.035 0.082,0.000,0.270,,1.560,0.381,0.369 0.000,0.037,0.134,0.013,0.151 0.480,,0:000,0.000,4.542
2023,,0.060,0.268,0.000,0.006 0.510,0.122,,0.038 0.086,0.000,0.256,1.6.70,0.445,0.394,,0.000 0.077,0.145,0.000,0.209,0:490,0.000,0.000,4.776
Current. Week 2024,6,0.120,0.316,,0.150 0.548,0.138,,0.025 0.084,,0.380,,1.840,0.320,0.300,0.027,0.126,0.002,0.354 0.470,,0.004,0.135,5.340
Normal of Corr. week,5,·0.08,0.25,0.00,00'0 0.63,0.10,0.00,0.02 000,0.00,0.241,0.00,1.35,0.37,0.35,0.00,0.06 0.13,0.01,0.13,0.71,0.00,0.04,4.51
State Target Kharif 2024,4,0.14,0.32,0.00,0.15 0.88,0.10,0.00,00 0.10,0.00,0.37,0.00,1.87,0.48,0.46,0.00,0.06 0.26,0.00,0.63,0.47,0.01,0.14,6.45
Area (DES) Avg. of 2018-19 to 2022-2023,3,0.16,0.27,0.05,0.03 0.66,0.06,0.00,0.03 0.05,0.00,0.31,0.00,0.97,0.48,0.36,0.00,0.08 0.22,0.00,0.09,0.49,0.03,0.12,4.47
State,2,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,CHHATTISGARH BIHAR,GUJARAT,HARYANA,HIMACHALPRADESH JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,ODISHA,PUNJAB,RAJASTHAN TAMILNADU,TELANGANA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,Others,CENTRALLEVEL
SI.No.,,,2,3,4 5,6,7,8,10,1,2,3,15,,,7,18 19,2,,2,23,
