Crop,Condition,16,,,,,,,,,,,,,,0.00,5.10,,,,,,
,2021,15,-0.03 0.07,0.00,0.73,-0.08,0.16,1.87,0.04,0.07,0.06,-0.28,0.00,1.46,-2.18,0.21,-0.05 60'0-,1.68,0.00,0.05,,0.18,8.98
Area in Lakh ha. Increase/Decrease over,2022 4,0.03,0.05,0.00,0.61,0.00,-0.01,660,0.00,0.06,0.13,,0.00,0.92,-0.47,0.06 0.00,-3.01 -0.15,0.01,1.18,-0.01,0.05,0.18,1.96
,2023 3,0.03,0.05,0.00,0.51,60'0,-0.13,0.62,0.00,0.06,-0.01,1.73,0.00,0.64,0.18,0.25 0.00,-2.86 0.20,0.05,0.95,0.03 0.03,,0.18,2.04
Normal of Corr.,week,50:0-,0.06,0.00,0.66,0.06,-0.01,5.19,0.01,0.07,0.11,1.00,0.00,1.07,-2.09,900 0.00,1.53 0.00,-0.12,1.51 -0.16,,0.04,0.14,606
2019,1,0.520,0.246,0.000,0.000,0.493,2.118,4.660,0.050,0.059,0.000,4.863,0.000,5.540,10.112,1.298 0.000,44.080 1.116,0.426,11.461,1.720,0.020,0.131,88.911
2020,12,0.576,0.243,0.000,0.000,0.710,2.174,4.560,0.010,0.069,0.142,8.030,000'0,5.920,0666,1.433 0.000,45.395 1.640,0.419,11.773,1.710,0.002,0.082,94.878
Area Covered (SDA) 2021,9,0.440,0.242,0.000,0.000,0.840,1.947,4.130,0.000,0.072,0.204,7.770,0000,5.430,8.240 1.341,0.000 43.850,1.425 0.234,11.809,,1.330,0.004,0.000,
2022,8,0.380,0.270,0.000,0.119,0.760,2.117,5.010,0.041,0.082,0.128,6.020,0.000,5.970 6.531,1.611,0.000 51.959,1.526,0.140,12.307 1.340,,0.008,0.000,96.319
2023,,0:380,0.268,0.000,0.219,0.670,2.240,5.380,0.044,0.086,0.267,5.756,0.000 6.250,5.880,,1.802 0.000 51.805,1.176,0.099],12.538 1.360,0.026,,000'0,96.246
Current Week,2024 6,0.410,0.316,0.000,0.727,0.756,2.109,6.000,0.043,0.145,0.260,7.490,0.000 6.890,6.061,1.555,0.000,48.948 1.376,0.147,13.489 1.330,,0.055,0.177,98.284
Normal of Corr. week,5,0.46,0.25,0.00,0.07,0.69,2.12,0.81,,0.07,0.15 6.49,,00:0,5.82 8.15,1.50,0.00,47.42 1.38,0.26,11.98,1.49,0.01,0.04,89.19
State Target Kharif 2024,,0.77,0.32,0.00,0.66,1.34,3.20,6.10,0.05,0.19,0.29 10.32,,00:0 7.46,6.63,2.56,0.00,49.96 3.01,0.17,14.23,1.33,0.07,0.18,108.85
Area (DES),3,0.86,0.27,0.05,0.10,0.73,4.28,5.29,0.05 0.19,0.18,10.44,0.00,5.31,10.49,0.86,0.01 48.32,3.50 0.41,10.91,1.34,,0.08,0.18,104.07
State,2,ANDHRAPRADESH 1,ARUNACHALPRADESH 2,ASSAM,CHHATTISGARH BIHAR,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,ODISHA,RAJASTHAN PUNJAB 7,TAMILNADU TELANGANA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,,Others,CENTRALLEVEL
SI.No.,,,3,4,5,6,7,8,,10,1,,12,3,14 15,16,18,19,2,2,2,,
