0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
condition Crop,,,,,,,,,,,,,,,,
,2021,-0.050 0.006,0.000 0.001,0.001 0.000,000'0 0.000,-0.004 -0.001,-0.469,0.000 0.000,-0.212 0.000,0.000 0.001 0.001,0.010 0.000,0.000 -0.009 0.000,0.000 0.000 0.000,000:0 0000,-0.728,-0.728
,2022 14,-0.049 0.006,0.000 000'0 -0.001,000'0,0.000 0.000,900'0- -0.001,-1.059,0.000 0.000,0.061 0.000,0.000 000:0 0.001,0.010 0.000,0.000 -0.026 0.000,000'0 000'0 000'0 0.000,0.000,-1.186,-1.186
DifferenceinAreacoverage(2024)with 2023 Average of,13 Date. 12,~0.008 0.001 -0.027 0.002,0.000 0.002 0.002 0.000 0.000 0.002,0.000 0000,0.000 000'0 000'0 0.000,0.000 0.001 0.003 -0.001,0.020 -0.403,0.000 0.000 0.000 0.000,0.071 0.000 -0.055 0.000,0.000 000'0 0.001 0.000 0.001 0.001,0.005 0.000 0.000 0.007 000'0 000'0,0.007 0.000 600'0 0.001,0.000 0.000 0.000 0.000 0.000,0.000 000'0 0.000 0.000 0.001,0.028 -0.490,0.028 -0.490
2019,,0.03078 0.01190,0.00600 0.00250,,,0.00000 0.00266,0.67500,,0.12517,0.00000 0.00077,0.00000,0.00100 0.00360,,0.00400,0.863,0.863
2020,10,0.01609 0.00000,0.00600 0.00150,,,0.00573 0.00230,0.93600,,0.14457,0.00100 0.00070,0.00000,0.00300 0.00103,,0.00000,1.118,1.118
AreaCovered(SDA) 2021,9,0.05925 0.00000,0.00500 0.00160,,,0.00450 0.00143,1.04200,,0.30951,0.00110 0.00126,0.00000,0.01100 0.00009,,00000'0,1.437,1.437
2022,,0.05808 0.00000,0.00600 0.00150,,,0.00580 0.00163,.63159,,0.15793,0.00210 0.00112,0.00000,0.02803 0.00049,,0.00000,1.894,1.894
2023,,0.01706 0.00501,0.00800 0.00180,,,0.00000 0.00106,0.59242,,0.02606,0.00218 0.00347 0.01500,,0.00917 0.00001,,00000'0,0.681,0.681
2024,,90600'0 0.00560,0.00600 0.00020,,,0.00016 0.00051,0.57289,,0.09740,0.00225 0.00248,0.01000,0.00192 0.00029,,,0.709,0.709
Average Area aso1 Date,,0.036 0.003,0.006 0.002,,,0.003 0.002,0.975,,0.153,0.001 0.001 0.003,,0.010 0.001,,0.001,1.199,1.199
Area target! ()),,0.070 0.010,0.010 0.013,,,0.003 0.028,1.300,,0.030,0.002 0.020,0.033,0.000,,,1.519,1.519
Area (DES),3,0.054 0.006,0.010 0.000,0.000,0.000,000'0 0.002,1.135 0.000,0.000 0.173,0.000,0.000 0.003 0.004,,0.011,0.000 0.000,,1.397,1.397
State,2,Arunachal Pradesh Andhra Pradesh 2,Bihar Chhattisgarh,Gujarat,HimachalPradesh Haryana 8,Jammu&Kashmir Jharkhand,Karnataka,Madhya Pradesh,Maharashtra Manipur 5,Nagaland 9,Rajasthan,Sikkim Tamil Nadu,Tripura Uttar Pradesh,AIIINDIA,AIIINDIA,AIIINDIA
,SL.No,,Assam 3 4 5,6,,9,10 二,Kerala 12 3,4,Meghalaya Mizoram 7 8,Punjab 20 2,2,Telangana 2 2,Uttarakhand WestBengal 27 28,Others,
