0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2022-23** 22.08.2023 odn,0.37,0.27,2.24 0.44,1.92,1.01,6.56,1.15,10.54,0.21,0.85,1.59,0.24,28.38,0.94 0.15,0.25 57.11
2023-24* 22.08.2024 dn,0.27,0.23,2.17 0.42,2.12,0.86,6.59,1.02,10.53,0.21,1.03,1.54 0.20,29.25,0.88,0.12,0.24 57.68
Normalupto 22.08.2024 lastyear2022-23 States,0.83,0.26,2.56 0.30,2.02,1.04,5.95,1.07 11.18,0.19,0.94,1.67,0.28,24.73,0.93,0.16,0.31 54.42
Normal DES EntireYear (2018-19 to 2022-23),0.66,0.30,2.18 0.35,1.88,1.04,5.28,1.03 11.5,0.07,,1.46,0.29,23.17,0.64,0.18,0.22 51.15
s Normal Entireyear (2018-19 to 2022-23),0.83,0.29 2.56,0.32,2.02,1.04,6.18,1.07 12.00,0.19,0.94,1.67,0.30,24.58,0.92,0.16,0.31 55.38
State Target,0.42,0.34 2.18,0.5,2.25,1.05,7.38.,1.42 10.95#,0.25,1.00,1.94,0.25,29.66,0.53,0.18,0.24 60.54
Summer 2023 o1dn 22.08.2023,0.28,0.19 1.40,0.17,0.11,0.42,3.66,00°0,3.39 0.13,0.62,0.21,0.15,21.67,0.64 000,0.14,33.18
Summer 2024upto 22.08.2024,0.20,0.17,0.98 0.10,0.10,0.30,3.48,0.00,4.16 0.15,0.75,0.14,0.16,22.42,0.55 0.04,0.13,33.83
States Normal Summer odn 22.08.2024,0.65,0.16 1.63 1.63,600,0.22,0.45,3.13,000,5.70 0.11,0.7,0.32,0.26,17.79,0.58 0.04,0.19,32.02
s Entire Summer,0.65,0.19,0.11,0.22,0.45,3.36,0.00 6.52,0.11,0.70,0.32.,0.28,17.64,0.57 0.04,0.19,32.98
"2022-23 Rabi,",60'0,0.08 0.84,0.27,1.81,0.59,960 1.15,3.38,0.08,0.23,0.32,60'0,.71 6,0.30 0.15,0.11 0,17.16
"Rabi, 2023-24",0.07,0.06 1.19,0.32,2.02,0.56,0.82,1.02,3.29 90:0,0.28,0.31,0.04,6.83,0.33 0.08,0.11,17.39
States,0.18,0.10 0.93,0.21,1.80,0.59,0.78 1.07,3.07,0.08,0.24,0.32,0.02,6.94,0.35 0.12,0.12,16.92
"Kharif, 2022",,,,,,1.94,,3.77,,1.06,,,,,6.77
"Kharif, 2023",,,,,,2.29,3.08,,,1.09,,,,,6.46
s,,,,,,2.04,2.41,,,1.03,,,,,5.48
Andhra Pradesh State Assam,2,Chhattisgarh Bihar 3,Gujarat 5,6,Karnataka Haryana,MadhyaPradesh 8,Maharashtra 9,Odisha,Punjab,Tamil Nadu,Telangana,UttarPradesh Uttarakhand,WestBengal,Others States$,All India
S.No.,,,,,,,,10,1,,3,14,15,16,
