0,1,2,3,4,5,6,7,8,9,10,11
2019,,-0.027,0.037,-0.282,-0.012,-0.004,-0.006,-0.008,-0.817,0.010,-1.108
2020,16,-0.009,0.037,-0.291,-0.030,-0.003,0.004,-0.005,-0.952,0.010,-1.240
2021,15,-0.002,-0.109,-0.300,-0.034,0.015,-0.003,-0.004,-0.818,0.010,-1.245
2022,,-0.006,0.003,-0.444,-0.024,0.002,0.001,-0.002,-0.792,0.010,-1.252
Difference inArea coverage(2024)with 2023,3,-0.003,0.034,-0.228,0.034,0.000,0.008,0.000,-0.630,-0.006,-0.860
Corre.week Normalof,12,-0.009,0.000,-0.309,-0.027,0.002,0.001,-0.004,-0.802,0.007,-1.141
2019,,0.032,0.587,0.946,0.090,0.050,0.090,0.011,5.000,0.000,6.805
2020,10,0.013,0.587,0.956,0.108,0.050,0.080,0.008,5.135,0.000,6.937
Areacovered(SDA) 2021,,0.007,0:733,0.964,0.112,0.032,0.087,0.006,5.001,0.000,6.942
2022,8,0.010,0.621,1.108,0.102,0.044,0.083,0.005,4.975,0.000,6.949
2023,,0.007,0.590,0.893,0.112,0.046,0.076,0.003,4.813,0.016,6.557
2024,6,0.005,0.624,0.664,0.078,0.047,0.084,0.003,4.183,0.010,5.697
Normal Area of Corresponding Week,,0.014,0.624,0.973,0.105,0.045,0.083,0.007,4.985,0.003,6.838
TargetArea (SDA) 2024-25,4,0.010,0.720,0.772,0.078,0.047,0.115,0.006,4.620,0.025,6.392
NormalArea (DES),3,0.016,0.656,0.653,0.105,0.038,0.046,0.008,5.201,0.019,6.742
State,,AndhraPradesh,Assam,Bihar,Meghalaya,Nagaland,Odisha,Tripura,West Bengal,Others,Total
SI.No.,,,2,3,4,5,6,7,8,9,
