0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Area in lakh ha.,Tota! 125,5.740,17.697,26.521,7.010,,5.611,6.091,43.682 1.700,3.000,,6.445,0.117 0.271,123.885
2019-20,NonBt,0.057,0.354,2.652,0.070,,0.112,0.305 2.184,1.700,0.060,0.322,0.012,0.271,8.099
,23,5.683,17.343,23.869,6.940,,5.499,5.786 41.498,0.000,2.940,6.123,0.105,0.000,115.786
Total,22,5.391,23.847,22.766,7.370,6.569,,6.440 42.016,1.710,3.000,6.979,0.093,0.216,126.397
2020-21,2,0.054,0.238,2.277,0.074,0.131,,0.322 2.101,1.710,0.060,0.349,0.009,0.216,7.541
,20,5.337,23.609,20.489,7.296,6.438,6.118,39.915,0.000,2.940,6.630,0.084,0.000,118.856
Tota!,19,4.460,20.346,22.507,6.880,6.110,6.000,39.353,1.954,2.541,6.289,0.096,0.371,116.908
2021-22,18,0.045,0.203,2.251,0.069,0.122,0.600,1.968,1.954,0.026,0.314,0.010,0.371,7.932
Aren Covered (SDA),,4.415,520.143,20.257,6.811.,5.988,5.400,37.385,0.000,2.515,5.975,0.086,0.000,124.822108.975
Total,,5.720,19.566,25.384,6.505,7.800,6.250,41.994,2.158,2.490,6.526,0.169,0.260,
2022-23,15,0.057,0.196,2.538,0.065,0.156,-0.625,2.100,2.158,0.025,0.326,0.017,0.260,8.523
,,5.663,19.371,22.845,6.440,7.644,5.625.,39.894,0.000,2.465,6.200,0.152,0.000,
Total,13,3.690,18.018,26.780,6.650,6.557,6.500,41.866,2.335,2.140,7.908,0.125,0.173,122.742|116.298
2023-24,2,0.037,000°0,2.142,0.067,0.033,0.325,0.837,2.335,0.000,0.633,0.010,0.173,6.591
,,3.653,18.018,24.637,6.584,6.524,6.175,41.029,0.000,2.140,7.275,0.115,0.000,116.151
,10,3.500,17.090,23.580,4.760,6.690,6.149,40.784,2.359,1.000,5.132,0.101,0.241,111.386
2024-25 Non Bt,,0.035,0.000,1.886,0.048,0.033,0.307,0.816,2.359,000'0,0.411,0.012,0.241,6.148
,,3.465,17.090,21.694,4.712,6.657,5.842,39.968,0.000,0001,4.722,0.089,0.000,105.237
Normal Area as on Date,7,5.000,19.895,24.792,6.883,6.529,6.256,41.782,1.971,2.634,6.830,0.120,0.258,122.951
(2019-2023) NonBt,0.050,,0.198,2.372,0.069,0.111,0.435,1.838,1.971,0.034,0.389,0.011,0.258,7.737
,5 4.950,,19.697,22.420,6.814,6.419,5.821,39.944,000'0,2.600,6:441,0.109,0.000,115.213
Target,5.99,24.28,,24.50,6.75,8.00,6.23,40.20,2.40,2.00,7.50,1.78,0.30,129.93
Normal Area (DES)*,3 6.28,20.37,,24.71,6.76,7.96,6.01,43.69,,2.54,7.53,1.47,0.21,129.34
State,AndhraPradesh,Telangana,Gujarat,,,,Madhya Pradesh,Maharashtra,,,,Tamil Nadu**,Others,
,,,,,Haryana,Karnataka,,,,Punjab,Rajasthan,,,AIIINDIA
SI.No,,,2,3,,,6,7,8,9,10,,2,
