"Areu in lakh ha, crop",condition,Z,,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
Total,4,-2.240,~0.607,-2.941,-2.250,1.079,0.058,-2.898,0.659,-2.000,-1.313,-0.016,-0.030,-12.499
2019 NonBt,I,-0.022,-0.354,-0.766,-0.022,-0.079,0.002,-1.368,0.659,-0.060,0.089,0.000,-0.030,-1.951
,,-2.218,-0.253,-2.175,-2.228,,0.056,-1.530,0.000,-1.940,-1.401,910:0-,0.000,-15.011-10.549
Total,3,1.891,6.757,0.814,-2.610,0.121,-0.291,1.232,0.649,-2.000,-1.847,0.008,0.025,
2020,,-0.019,-0.238,-0.391,-0.026,-0.098,-0.015,-1.285,0.649,-0.060,0.062,0.003,0.025,-1.393
,,-1.872,-6.519,1.205,-2.584,0.219,-0.276,0.053,0.000,-1.940,-1.908,0.005,0.000,-13.619
Tota!,36,-0.960,-3.257,1.073,-2.120,0.580,0.149,1.430,0.405,1.541,1.157,0.005,-0.130,-5.522
2021 Non Bt,,-0.010,-0.203,-0.364,-0.021,-0.089,-0.293,-1.152,0.405,-0.026,0.096,0.003,-0.130,-1.784
,,-0.950,-3.053,1.437,-2.099,0.669,0.442,2.582,0.000,-1.515,-1.253,0.002,0.000,-3.738
,3,-2.220,-2.477,-1.803,-1.745,-1.110,-0.101,-1.210,0.201,-1.490,-1.394,-0.068,-0.019,-13.436
Diference in area coverage compare to 2022,32,-0.022,-0.196,-0.652,-0.017,-0.123,-0.318,-1.284,0.201,-0.025,0.084,-0.005,-0.019,-2.375
,3,-2.198,-2.281,1.152,-1.727,-0.987,0.217,0.074,0.000,-1.465,-1.478,-0.063,0.000,
Total,,-0.190,-0.929,-3.199,-1.890,0.133,-0.351,-1.083,0.024,-1.140,-2.776,-0.024,0.068,-0.443-11.357-11.061
2023 NonBt,2,-0.002,0.000,-0.256,-0.019,0.001,8100-,-0.022,0.024,0.000,-0.222,0.002,890'0,
,28,-0.188,-0.929,-2.944,,0.132,-0.333,-1.061,0.000,-1.140,-2.554,-0.026,0.000,-10.914
,2,-1.500,-2.805,-1.211,-2.123,0.161,-0.107,-0.999,0.388,-1.634,-1.697,-0.019,-0.017,-11.565
Normalofareaasondate NonBt,26,-0.015,-0.198,-0.486,-0.021,-0.077,0.128,1.022,0.388,-0.034,0.022,0.001,-0.017,
,25,-1.485,-2.607,-0.726,-2.102,0.238,0.021,0.024,0.000,-1.600,-1.719,-0.020,0.000,-9.976
State,2,Andhra Pradesh,Telangana,Gujarat,Haryana,Karnataka,Madhya Pradesh,Maharashtra,,Punjab,Rajasthan.,Tamil Nadu,Others,AIlINDIA
SI.No,,,2,3,寸,,6,7,,9,10,=,2,
